Feature,Importance
"Genre_Film-Noir, Mystery",0.0001557273056869143
"Genre_Drama, Film-Noir",0.00015558884612984204
"Genre_Action, Crime, Thriller",0.00015507978526223048
"Genre_Action, Drama, Western",0.00015305324725657033
"Genre_Drama, Fantasy, History",0.00015038363953974855
Director_Wes Anderson,0.00014863409752518902
"Genre_Action, Drama, Sci-Fi",0.00014858248770413307
"Genre_Drama, Music, Romance",0.00014827083095635116
"Genre_Drama, Film-Noir, Romance",0.0001477281294998501
Director_Stanley Kramer,0.00014605707857603798
"Genre_Drama, Mystery, Sci-Fi",0.00014444306234976358
"Genre_Comedy, Music, Musical",0.00014441989421312354
Director_Woody Allen,0.00014345744225204764
"Genre_Biography, Drama, Thriller",0.00014245291683120663
Director_David Lean,0.00014071697746398363
Director_John Ford,0.00014009780361474956
Director_Paul Thomas Anderson,0.00013892456730090372
Director_Peter Jackson,0.0001351100763397233
"Genre_Animation, Action, Crime",0.000133845456605271
"Genre_Adventure, Comedy, Fantasy",0.00013247569276721418
Director_Alejandro Amenábar,0.0001323845575103501
"Genre_Action, Crime, Mystery",0.00013177101733856725
Director_Kar-Wai Wong,0.00012888177640474105
Director_Lars von Trier,0.00012714101951125876
"Genre_Drama, Mystery, Romance",0.00012663807848778096
Director_Brian De Palma,0.00012608140539032632
"Genre_Comedy, Drama, Fantasy",0.0001237786090536438
"Genre_Drama, Mystery",0.00011816215900855831
"Genre_Animation, Family, Fantasy",0.00011802086856422854
Director_Asghar Farhadi,0.00011467334565166005
Director_Ang Lee,0.00011153914529396572
"Genre_Adventure, Comedy, Drama",0.00010713140897309087
"Genre_Drama, Mystery, Thriller",0.00010699051463315057
"Genre_Drama, Romance, War",0.00010661872765656768
"Genre_Crime, Drama, Musical",0.0001053248438230683
Genre_Horror,0.00010398633582491359
"Genre_Adventure, Drama, Sci-Fi",0.00010299443077296245
"Genre_Action, Adventure, Thriller",9.679665858717534e-05
Director_Brad Bird,9.543184062780519e-05
Director_David Lynch,9.439546138715376e-05
"Genre_Action, Comedy, Romance",9.430037715742426e-05
"Genre_Action, Drama, Thriller",9.368023800980509e-05
Director_Roman Polanski,9.126977907699207e-05
"Genre_Adventure, Drama, Fantasy",8.809627610093391e-05
Director_Terry Gilliam,8.73819764790124e-05
"Genre_Adventure, Fantasy",8.534544780185235e-05
"Genre_Crime, Drama, Film-Noir",8.503692594709401e-05
"Genre_Adventure, Drama, War",8.408717294085703e-05
"Genre_Drama, History, War",8.301271413589927e-05
Director_Tim Burton,8.268396060385503e-05
"Genre_Adventure, Drama, History",8.205996980650258e-05
"Genre_Drama, Sci-Fi",7.827151823222938e-05
Director_Michael Mann,7.651191051306584e-05
Director_Elia Kazan,7.649941440887218e-05
"Genre_Adventure, Sci-Fi",7.549591855142021e-05
Director_Michael Haneke,7.545528433556547e-05
"Genre_Drama, Fantasy, Romance",7.491712843085992e-05
Director_Satoshi Kon,6.726403402241624e-05
"Genre_Comedy, Fantasy, Romance",6.537838892618809e-05
"Genre_Comedy, Horror",6.521758722397029e-05
"Genre_Action, Mystery, Thriller",6.258737299563216e-05
"Genre_Drama, Romance, Sci-Fi",6.140579118574092e-05
Director_Howard Hawks,5.749245751186387e-05
"Genre_Animation, Drama, Romance",5.715059556846897e-05
Director_David Yates,5.6309074489692774e-05
Director_Hayao Miyazaki,5.602521314740934e-05
"Genre_Drama, Horror",5.371228975013662e-05
"Genre_Action, Adventure, Family",5.358630746743728e-05
"Genre_Adventure, Comedy, War",5.2788638765744586e-05
"Genre_Drama, Fantasy, War",5.1439249528556434e-05
Director_Jim Jarmusch,4.9964701184043016e-05
Director_Paul Greengrass,4.7802434581496414e-05
Director_Andrei Tarkovsky,4.739842531405763e-05
Director_Danny Boyle,4.7114648284135816e-05
"Genre_Animation, Comedy, Drama",4.69984216921291e-05
"Genre_Comedy, Music, Romance",4.559124355675409e-05
"Genre_Comedy, Crime, Mystery",4.5053077857366866e-05
"Genre_Drama, Fantasy, Mystery",4.3716017290328985e-05
Director_Fred Zinnemann,4.319814424175183e-05
"Genre_Animation, Adventure, Fantasy",4.138943521228989e-05
"Genre_Action, Biography, Crime",4.100252576822709e-05
Director_William Wyler,3.87378154623104e-05
Director_Taika Waititi,3.770453802109193e-05
"Genre_Biography, Drama, Family",3.7445221423303776e-05
Director_Krzysztof Kieslowski,3.6676694775800916e-05
"Genre_Drama, History, Mystery",3.6489303795785073e-05
